endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt
space,54.4844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,15.4985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.6503,NAN,,NAN,,0,35,35,35,1,36,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_15.jpeg,liked,3.79605092,,,,,,,,,,,,
,,,,,,space,0.5837,NAN,,NAN,,0,36,36,36,1,37,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_21.jpeg,liked,3.562416326,,,,,,,,,,,,
,,,,,,space,0.5506,NAN,,NAN,,0,37,37,37,1,38,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_30.jpeg,liked,2.843822497,,,,,,,,,,,,
,,,,,,space,0.835,NAN,,NAN,,0,38,38,38,1,39,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_19.jpeg,liked,3.546495948,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.5172,0,0,0,0,1,0.6478,h,2.2276
,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_25.jpeg,liked,1.672012706,,,,,,,,,,,,
,,,,,,space,1.1581,NAN,,NAN,,0,40,40,40,1,41,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_17.jpeg,liked,4.942172136,,,,,,,,,,,,
,,,,,,space,0.7499,NAN,,NAN,,0,41,41,41,1,42,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_10.jpeg,liked,2.50187214,,,,,,,,,,,,
,,,,,,space,0.5404,NAN,,NAN,,0,42,42,42,1,43,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_5.jpeg,did not like,2.071164779,,,,,,,,,,,,
,,,,,,space,0.741,NAN,,NAN,,0,43,43,43,1,44,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_13.jpeg,did not like,5.336503566,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.4507,0,0,0,0,1,1.5656,,
,,,,,,,,NAN,,NAN,,0,44,44,44,1,45,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_3.jpeg,liked,2.642157193,,,,,,,,,,,,
,,,,,,space,1.25,NAN,,NAN,,0,45,45,45,1,46,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_22.jpeg,liked,4.456234322,,,,,,,,,,,,
,,,,,,space,0.3327,NAN,,NAN,,0,46,46,46,1,47,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_8.jpeg,liked,4.438512181,,,,,,,,,,,,
,,,,,,space,1.1122,NAN,,NAN,,0,47,47,47,1,48,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_16.jpeg,liked,2.682944783,,,,,,,,,,,,
,,,,,,space,0.5433,NAN,,NAN,,0,48,48,48,1,49,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_1.jpeg,liked,4.51984296,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.638,0,0,0,0,1,0.8333,,
,,,,,,,,NAN,,NAN,,0,49,49,49,1,50,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_9.jpeg,liked,3.195382774,,,,,,,,,,,,
,,,,,,space,1.4597,NAN,,NAN,,0,50,50,50,1,51,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_29.jpeg,liked,1.779333479,,,,,,,,,,,,
,,,,,,space,0.5603,NAN,,NAN,,0,51,51,51,1,52,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_2.jpeg,liked,4.312468682,,,,,,,,,,,,
