PROLIFIC_ID,condition_recode,aggregated_value,choice
5c3272172f0f3500010284c0,-1,-1,1.0
5c3272172f0f3500010284c0,-1,-1,0.0
5c3272172f0f3500010284c0,-1,1,1.0
5c3272172f0f3500010284c0,-1,-1,0.0
5cab944b41de360017e2c3db,-1,-1,999.0
5cab944b41de360017e2c3db,-1,-1,1.0
5cab944b41de360017e2c3db,-1,-1,1.0
5cab944b41de360017e2c3db,-1,-1,0.0
5cab944b41de360017e2c3db,-1,-1,1.0
5cab944b41de360017e2c3db,-1,-1,0.0
5cab944b41de360017e2c3db,1,1,1.0
5cab944b41de360017e2c3db,1,1,0.0
5cab944b41de360017e2c3db,1,1,1.0
5cab944b41de360017e2c3db,1,-1,1.0
5cab944b41de360017e2c3db,1,1,0.0
5cab944b41de360017e2c3db,1,1,1.0
5cab944b41de360017e2c3db,1,1,1.0
5cab944b41de360017e2c3db,1,1,1.0
5cab944b41de360017e2c3db,1,1,0.0
5cab944b41de360017e2c3db,1,1,1.0
5cab944b41de360017e2c3db,1,-1,0.0
5cab944b41de360017e2c3db,1,1,1.0
5cab944b41de360017e2c3db,0,-1,0.0
5cab944b41de360017e2c3db,0,1,0.0
5cab944b41de360017e2c3db,0,-1,1.0
5cab944b41de360017e2c3db,0,-1,0.0
5cab944b41de360017e2c3db,0,1,0.0
5cab944b41de360017e2c3db,0,1,1.0
5cab944b41de360017e2c3db,-1,-1,1.0
5cab944b41de360017e2c3db,-1,1,0.0
5cab944b41de360017e2c3db,-1,-1,1.0
5cab944b41de360017e2c3db,-1,1,0.0
5cab944b41de360017e2c3db,-1,-1,1.0
5cab944b41de360017e2c3db,-1,-1,1.0
5d55d562e04e1c0001f5e682,1,-1,999.0
5d55d562e04e1c0001f5e682,1,1,1.0
5d55d562e04e1c0001f5e682,1,1,0.0
5d55d562e04e1c0001f5e682,1,-1,0.0
5d55d562e04e1c0001f5e682,1,1,0.0
5d55d562e04e1c0001f5e682,1,1,0.0
5d55d562e04e1c0001f5e682,-1,-1,0.0
5d55d562e04e1c0001f5e682,-1,-1,0.0
5d55d562e04e1c0001f5e682,-1,1,0.0
5d55d562e04e1c0001f5e682,-1,1,0.0
5d55d562e04e1c0001f5e682,-1,-1,0.0
5d55d562e04e1c0001f5e682,-1,-1,0.0
5d55d562e04e1c0001f5e682,1,1,0.0
5d55d562e04e1c0001f5e682,1,1,0.0
5d55d562e04e1c0001f5e682,1,1,0.0
5d55d562e04e1c0001f5e682,1,1,0.0
5d55d562e04e1c0001f5e682,1,1,0.0
5d55d562e04e1c0001f5e682,1,1,0.0
5d55d562e04e1c0001f5e682,-1,-1,0.0
5d55d562e04e1c0001f5e682,-1,-1,0.0
5d55d562e04e1c0001f5e682,-1,1,0.0
5d55d562e04e1c0001f5e682,-1,-1,0.0
5d55d562e04e1c0001f5e682,-1,-1,0.0
5d55d562e04e1c0001f5e682,-1,-1,0.0
5d55d562e04e1c0001f5e682,0,1,0.0
5d55d562e04e1c0001f5e682,0,-1,0.0
5d55d562e04e1c0001f5e682,0,1,0.0
5d55d562e04e1c0001f5e682,0,-1,0.0
5d55d562e04e1c0001f5e682,0,1,0.0
5d55d562e04e1c0001f5e682,0,-1,0.0
5dcb685070d51c8275d7bd54,-1,1,999.0
5dcb685070d51c8275d7bd54,-1,-1,1.0
5dcb685070d51c8275d7bd54,-1,-1,1.0
5dcb685070d51c8275d7bd54,-1,-1,1.0
5dcb685070d51c8275d7bd54,-1,-1,1.0
5dcb685070d51c8275d7bd54,-1,-1,1.0
5dcb685070d51c8275d7bd54,1,1,1.0
5dcb685070d51c8275d7bd54,1,1,1.0
5dcb685070d51c8275d7bd54,1,1,1.0
5dcb685070d51c8275d7bd54,1,1,1.0
5dcb685070d51c8275d7bd54,1,-1,1.0
5dcb685070d51c8275d7bd54,1,1,1.0
5dcb685070d51c8275d7bd54,0,1,1.0
5dcb685070d51c8275d7bd54,0,1,1.0
5dcb685070d51c8275d7bd54,0,-1,1.0
5dcb685070d51c8275d7bd54,0,1,999.0
5dcb685070d51c8275d7bd54,0,-1,1.0
5dcb685070d51c8275d7bd54,0,-1,1.0
5dcb685070d51c8275d7bd54,-1,-1,1.0
5dcb685070d51c8275d7bd54,-1,1,1.0
5dcb685070d51c8275d7bd54,-1,-1,1.0
5dcb685070d51c8275d7bd54,-1,-1,1.0
5dcb685070d51c8275d7bd54,-1,-1,1.0
5dcb685070d51c8275d7bd54,-1,-1,1.0
5dcb685070d51c8275d7bd54,1,1,1.0
