PROLIFIC_ID,condition_recode,afterstresschange,salience_mean,stress_mean,recoded_stress,choice,rej-acc,ifnegvalue,choicertmean,timebetween,age,sex,order
61006614d4c56450afce3a6b,0,0.0,4.0,3.0,7,1.0,0.0,0,1.4,3.0,30.0,0.0,12
61006614d4c56450afce3a6b,1,0.0,4.0,3.0,7,1.0,0.0,0,1.25,3.0,30.0,0.0,12
61006614d4c56450afce3a6b,2,0.0,3.5,3.0,7,0.6666666666666666,0.0,0,1.3333333333333333,3.0,30.0,0.0,12
61006f43a84b82fb439d7cba,0,1.0,3.0,9.0,9.0,1.0,0.0,0,1.0,9.0,26.0,0.0,21
61006f43a84b82fb439d7cba,1,1.0,2.0,9.0,9.0,1.0,0.0,0,0.6666666666666666,9.0,26.0,0.0,21
61006f43a84b82fb439d7cba,2,1.0,3.0,9.0,9.0,0.7272727272727273,0.0,0,0.5454545454545454,9.0,26.0,0.0,21
610247cdbc9b348fd6601cb3,0,1.0,4.0,6.0,6.0,1.0,-1.5,1,1.0,17.0,24.0,0.0,12
610247cdbc9b348fd6601cb3,1,1.0,2.0,4.5,4.5,0.9090909090909091,-1.5,1,1.0,17.0,24.0,0.0,12
610247cdbc9b348fd6601cb3,2,1.0,4.0,6.0,6.0,0.75,-1.5,1,1.0,17.0,24.0,0.0,12
610367ad785ce86ceb8d201c,0,1.0,5.0,9.0,9.0,0.0,-3.0,1,1.0,2.0,19.0,0.0,12
610367ad785ce86ceb8d201c,1,1.0,2.5,3.5,3.5,0.0,-3.0,1,1.1818181818181819,2.0,19.0,0.0,12
610367ad785ce86ceb8d201c,2,1.0,3.5,6.5,6.5,0.0,-3.0,1,1.0909090909090908,2.0,19.0,0.0,12
6107f902de5549cbdf72cbe1,0,1.0,3.0,7.0,7.0,0.3333333333333333,0.0,0,0.8333333333333334,17.0,25.0,0.0,12
6107f902de5549cbdf72cbe1,1,1.0,2.5,7.0,7.0,0.7272727272727273,0.0,0,1.0,17.0,25.0,0.0,12
6107f902de5549cbdf72cbe1,2,1.0,3.5,7.0,7.0,0.36363636363636365,0.0,0,1.0909090909090908,17.0,25.0,0.0,12
61084dbab48ab21fce452554,0,1.0,2.0,2.0,2.0,0.0,-1.5,1,0.5,11.0,25.0,0.0,12
61084dbab48ab21fce452554,1,1.0,1.0,2.0,2.0,0.45454545454545453,-1.5,1,1.0909090909090908,11.0,25.0,0.0,12
61084dbab48ab21fce452554,2,1.0,2.5,3.5,3.5,0.0,-1.5,1,1.1666666666666667,11.0,25.0,0.0,12
6112c911a83cc494df38b468,0,1.0,3.0,6.0,6.0,0.6666666666666666,-0.5,1,1.0,2.0,28.0,0.0,12
6112c911a83cc494df38b468,1,1.0,2.5,5.0,5.0,0.2727272727272727,-0.5,1,1.4545454545454546,2.0,28.0,0.0,12
6112c911a83cc494df38b468,2,1.0,3.0,5.5,5.5,0.08333333333333333,-0.5,1,1.5,2.0,28.0,0.0,12
6112dccad39227e361c13866,0,1.0,3.0,5.0,5.0,0.8333333333333334,-2.0,1,1.1666666666666667,2.0,22.0,0.0,12
6112dccad39227e361c13866,1,1.0,1.0,2.5,2.5,0.18181818181818182,-2.0,1,1.0,2.0,22.0,0.0,12
