PROLIFIC_ID,trialnumber,choice,condition,feedback_words,condition_recode,feedbackvalue,aggregated_value
595727bd7c76640001aa8f6e,102.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,103.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,104.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,105.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,106.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,107.0,0.0,Acc,did not like,-1,1,-1.0
595727bd7c76640001aa8f6e,108.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,109.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,110.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,111.0,1.0,Acc,did not like,-1,1,-1.0
595727bd7c76640001aa8f6e,112.0,1.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,113.0,1.0,Acc,did not like,-1,1,-1.0
595727bd7c76640001aa8f6e,114.0,1.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,115.0,1.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,116.0,1.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,117.0,1.0,Acc,did not like,-1,1,-1.0
595727bd7c76640001aa8f6e,118.0,1.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,119.0,1.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,120.0,1.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,121.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,122.0,0.0,Rej,liked,1,-1,1.0
595727bd7c76640001aa8f6e,123.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,124.0,0.0,Rej,liked,1,-1,1.0
595727bd7c76640001aa8f6e,125.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,126.0,1.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,127.0,1.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,128.0,1.0,Rej,liked,1,-1,1.0
595727bd7c76640001aa8f6e,129.0,1.0,Rej,liked,1,-1,1.0
595727bd7c76640001aa8f6e,130.0,1.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,131.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,132.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,133.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,134.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,135.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,136.0,0.0,Rej,liked,1,-1,1.0
595727bd7c76640001aa8f6e,137.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,138.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,139.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,140.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,141.0,0.0,Rej,liked,1,-1,1.0
595727bd7c76640001aa8f6e,142.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,143.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,144.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,145.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,146.0,,Rej,liked,1,-1,-1.0
595727bd7c76640001aa8f6e,147.0,,Rej,liked,1,-1,-1.0
