sub_ID,Social Condition,condition_recode,afterstresschange,salience_mean,stress_mean,recoded_stress,Choice,rej-acc,ifnegvalue,choicertmean,timebetween,age,sex,order
63d7c5cbacd85e95302f3a62,Rejection,1,1,1,3.5,3.5,1,0,0,0.583333333,2,34,1,21
63d7ec164d40c184be89bf34,Rejection,1,1,2.5,4,4,0,-2,1,0.545454545,2,32,0,12
63d7f2b15b4a5938642f3a7b,Rejection,1,1,1.5,1.5,1.5,0,-4.5,1,1,43,32,0,21
63ddc6baab6a2130b8a41bf7,Rejection,1,1,1.5,2.5,2.5,0,-1,1,0,4,30,1,12
63e51e528df11f83a1aacab8,Rejection,1,0,3,2.5,7.5,0.7,1.5,0,2.1,3,27,1,21
63e52399159a69bf0ea848c6,Rejection,1,0,1,6.5,3.5,0.090909091,0,0,1.272727273,5,28,1,12
63ea4ab1ce4168cbe9f63775,Rejection,1,1,1,5,5,0.181818182,2,0,1.272727273,7,30,1,12
63eac31811a6da58d4f32d76,Rejection,1,1,3,9,9,0,0,0,1.181818182,2,19,1,12
63fac97f0d4e8f6bfd753d90,Rejection,1,1,1,5,5,0,0,0,0.5,2,28,1,12
6400d8ca785ee04d9b02ae9c,Rejection,1,1,1,2.5,2.5,0.545454545,-1.5,1,1.090909091,36,32,0,21
64023a98627b1116180dff0b,Rejection,1,1,1.5,2,2,0.666666667,-4,1,1.583333333,7,28,0,21
641361334c91a0c6ff4c5b79,Rejection,1,1,1,9,9,1,0,0,0.181818182,2,26,1,12
641a3df3c874807a1a8734bc,Rejection,1,1,3,6,6,0.166666667,-1,1,1.083333333,2,30,1,21
568d286ab5a2c2000cb6a91c,Acceptance,2,1,3.5,5,5,1,-0.5,1,0.363636364,2,34,0,21
595727bd7c76640001aa8f6e,Acceptance,2,1,4,6,6,0.333333333,1,0,1.666666667,16,23,0,21
5a4636c92f91ec0001dcba07,Acceptance,2,0,3,5,5,0,-0.5,1,1,7,31,0,12
5ad2c8334d061300011b1985,Acceptance,2,0,4.5,2.5,7.5,0.363636364,-1.5,1,1.181818182,1,29,1,21
5adef850eb60400001539109,Acceptance,2,0,3,4.5,5.5,1,2.5,0,1,1,25,1,21
5aec7e89ae13140001fc0cdf,Acceptance,2,1,4,6.5,6.5,0.272727273,-2,1,0.545454545,55,30,0,21
5b6c312fa1fda800015fe165,Acceptance,2,1,3.5,6.5,6.5,1,-3.5,1,1,2,32,0,12
5bcc60b95c2b810001dc68e2,Acceptance,2,1,2,5,5,0,0,0,1.090909091,2,27,1,21
5c1c74700036a80001193c24,Acceptance,2,1,1,4.5,4.5,0.75,0,0,1.083333333,17,35,0,12
5c1edaeaafeeef00011588b3,Acceptance,2,1,4,7.5,7.5,0.833333333,-1.5,1,0.75,2,28,1,12
5c3272172f0f3500010284c0,Acceptance,2,1,4,5.5,5.5,0.363636364,-1.5,1,1.181818182,1,35,0,12
5cab944b41de360017e2c3db,Acceptance,2,1,4,7,7,0.636363636,-2,1,1.272727273,2,30,0,21
5d55d562e04e1c0001f5e682,Acceptance,2,0,2,6,4,0,-0.5,1,1.25,3,32,0,12
5dcb685070d51c8275d7bd54,Acceptance,2,0,2.5,2.5,7.5,1,0,0,1.090909091,3,26,1,21
5dee8ee31255595293a9906b,Acceptance,2,0,3,2,8,0,0,0,0.333333333,4,34,1,21
5ec75df0d799ae1c11a8115c,Acceptance,2,0,3.5,3,7,0,-1.5,1,1.083333333,14,23,0,12
5eefc651cb94ad4c4d017b86,Acceptance,2,0,3.5,3,7,0.727272727,-2,1,1.636363636,4,34,1,21
5f16f559325a640008bb9a07,Acceptance,2,0,3.5,1,9,1,0,0,0.083333333,1,36,1,12
5f32bc368853aa03df112fc6,Acceptance,2,0,5,1,9,0.583333333,-3.5,1,1.416666667,3,23,0,12
5f985596be2ea910b23827ed,Acceptance,2,1,3,5.5,5.5,0,-0.5,1,0.545454545,57,23,0,21
5f9873550513db147c9d2958,Acceptance,2,1,1.5,5,5,0.454545455,0,0,0.818181818,3,23,0,21
5fd18d125e1f92195b1717bc,Acceptance,2,1,3.5,5.5,5.5,0.333333333,-0.5,1,0.916666667,4,26,1,12
5ff27bb4ad8fba794c1b96fa,Acceptance,2,0,2.5,6,4,0,-1,1,0.545454545,8,35,0,21
6056bcf1cee7a41435889255,Acceptance,2,1,2,9,9,0.181818182,-0.5,1,1.181818182,2,29,0,21
605b5b5feff0e95f2cd60834,Acceptance,2,1,1.5,6,6,0.363636364,0,0,1,2,25,0,21
608209b96e955ba5201eff25,Acceptance,2,1,4,6.5,6.5,1,-1.5,1,1.166666667,2,21,0,12
60bff9298f56d55c8ecd9adf,Acceptance,2,0,3,2.5,7.5,0.636363636,0,0,1,4,32,0,21
60d2b326161a622cd363268a,Acceptance,2,1,4,7,7,0.333333333,-2.5,1,1.166666667,2,32,0,12
60dbf4d94a3b5564b68881e8,Acceptance,2,0,2.5,6,4,0,-1.5,1,0.916666667,3,23,0,12
60ea57c074a703877f04330b,Acceptance,2,1,4.5,9,9,1,0,0,0.333333333,17,30,1,12
60ef2700e476748689a999f7,Acceptance,2,0,3.5,1,9,0.9,0,0,1.3,4,31,0,12
60f4e3ab507bbb123f866e88,Acceptance,2,1,4,5.5,5.5,0,-0.5,1,1.166666667,2,24,0,12
60fcebba7345a976efc9c080,Acceptance,2,0,2.5,5,5,0.272727273,-0.5,1,1.181818182,2,999,999,21
60fd56db5fe37ebeca00bc83,Acceptance,2,1,3.5,7,7,1,-1,1,1.083333333,2,33,0,21
60fd5a99c4e4ead0c9a6fff4,Acceptance,2,1,3.5,3,3,1,0,0,0.833333333,2,29,0,12
60fd80b85dd6b22f66d16822,Acceptance,2,1,3.5,5.5,5.5,0.090909091,-1,1,1.181818182,2,32,0,12
60fd89617258b322c92fdd03,Acceptance,2,1,4,6.5,6.5,1,-1.5,1,0.916666667,7,22,0,21
60fdb9ec6c3006abe82e5182,Acceptance,2,1,3.5,4.5,4.5,0,-1,1,0.727272727,2,23,0,12
