endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,8.8838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.6178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.554,NAN,,NAN,,0,68,68,68,1,69,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_2.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,3.6174,0,0,0,0,1,1.6736,h,1.5329,,
,,,,,,,,NAN,,NAN,,0,69,69,69,1,70,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_22.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,space,1.0381,NAN,,NAN,,0,70,70,70,1,71,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_24.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,space,2.4394,NAN,,NAN,,0,71,71,71,1,72,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_30.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,space,2.0684,NAN,,NAN,,0,72,72,72,1,73,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_13.jpeg,liked,2.071164779,,,,,,,,,,,,,,
,,,,,,space,0.7182,NAN,,NAN,,0,73,73,73,1,74,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_26.jpeg,did not like,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,5.8786,0,0,0,0,1,1.7639,h,2.2675,,
,,,,,,,,NAN,,NAN,,0,74,74,74,1,75,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_18.jpeg,liked,2.642157193,,,,,,,,,,,,,,
,,,,,,space,4.1213,NAN,,NAN,,0,75,75,75,1,76,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_19.jpeg,liked,4.456234322,,,,,,,,,,,,,,
