PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,end_screen_keys.keys,end_screen_keys.rt
610367ad785ce86ceb8d201c,space,12.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,11.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,space,1.17,NAN,,NAN,,0,40,40,40,1,41,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_4.jpeg,did not like,4.942172136,,,,,,,,,,,,
,,,,,,,space,0.636,NAN,,NAN,,0,41,41,41,1,42,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_5.jpeg,did not like,2.50187214,,,,,,,,,,,,
,,,,,,,space,1.22,NAN,,NAN,,0,42,42,42,1,43,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_24.jpeg,liked,2.071164779,,,,,,,,,,,,
,,,,,,,space,1.973,NAN,,NAN,,0,43,43,43,1,44,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_21.jpeg,liked,5.336503566,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.269,0,0,0,0,1,1.076,,
,,,,,,,,,NAN,,NAN,,0,44,44,44,1,45,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_7.jpeg,liked,2.642157193,,,,,,,,,,,,
,,,,,,,space,0.603,NAN,,NAN,,0,45,45,45,1,46,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_20.jpeg,liked,4.456234322,,,,,,,,,,,,
,,,,,,,space,1.866,NAN,,NAN,,0,46,46,46,1,47,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_1.jpeg,liked,4.438512181,,,,,,,,,,,,
,,,,,,,space,5.121,NAN,,NAN,,0,47,47,47,1,48,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_29.jpeg,liked,2.682944783,,,,,,,,,,,,
,,,,,,,space,4.17,NAN,,NAN,,0,48,48,48,1,49,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_26.jpeg,did not like,4.51984296,,,,,,,,,,,,
