PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
6400d8ca785ee04d9b02ae9c,space,10.5372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,6.5974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,space,0.4609,NAN,,NAN,,0,26,26,26,1,27,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_21.jpeg,did not like,3.799433026,,,,,,,,,,,,,,
,,,,,,,space,0.3173,NAN,,NAN,,0,27,27,27,1,28,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_22.jpeg,liked,5.246980764,,,,,,,,,,,,,,
,,,,,,,space,0.5013,NAN,,NAN,,0,28,28,28,1,29,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_9.jpeg,liked,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,1.3835,space,0.9116,0,0,0,0,1,,,,
,,,,,,,,,3,,4,,0,29,29,29,1,30,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_26.jpeg,liked,1.661473164,,,,,,,,,,,,,,
,,,,,space,1.2422,space,0.4027,NAN,,NAN,,0,30,30,30,1,31,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_5.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,0.6512,NAN,,NAN,,0,31,31,31,1,32,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_13.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,0.3552,NAN,,NAN,,0,32,32,32,1,33,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_9.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,0.4948,NAN,,NAN,,0,33,33,33,1,34,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_28.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.6291,space,1.9444,0,0,0,0,1,h,1.3631,,
,,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_16.jpeg,did not like,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,0.5816,NAN,,NAN,,0,35,35,35,1,36,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_17.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,0.5251,NAN,,NAN,,0,36,36,36,1,37,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_2.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,0.3359,NAN,,NAN,,0,37,37,37,1,38,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_4.jpeg,did not like,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,0.3985,NAN,,NAN,,0,38,38,38,1,39,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_11.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,1.1031,space,0.7075,0,0,0,0,1,,,,
,,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_29.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,0.5274,NAN,,NAN,,0,40,40,40,1,41,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_23.jpeg,did not like,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,0.3159,NAN,,NAN,,0,41,41,41,1,42,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_10.jpeg,did not like,2.50187214,,,,,,,,,,,,,,
