endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,8.9589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,10.3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NAN,,NAN,,0,54,54,54,1,55,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_17.jpeg,liked,3.602308302,,,,,,,,,,,,,,
,,,,,,space,1.1262,NAN,,NAN,,0,55,55,55,1,56,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_7.jpeg,liked,4.106391878,,,,,,,,,,,,,,
,,,,,,space,0.7259,NAN,,NAN,,0,56,56,56,1,57,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_13.jpeg,liked,3.799433026,,,,,,,,,,,,,,
,,,,,,space,0.8693,NAN,,NAN,,0,57,57,57,1,58,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_1.jpeg,did not like,5.246980764,,,,,,,,,,,,,,
,,,,,,space,1.306,NAN,,NAN,,0,58,58,58,1,59,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_25.jpeg,liked,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.1402,0,0,0,0,1,2.1102,h,0.5042,,
,,,,,,,,3,,9,,0,59,59,59,1,60,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_19.jpeg,liked,1.661473164,,,,,,,,,,,,,,
,,,,space,8.2626,space,0.5091,NAN,,NAN,,0,60,60,60,1,61,Charlie,Rej,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_1.jpeg,did not like,3.613205605,,,,,,,,,,,,,,
,,,,,,space,0.6355,NAN,,NAN,,0,61,61,61,1,62,Charlie,Rej,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_25.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,space,0.2861,NAN,,NAN,,0,62,62,62,1,63,Charlie,Rej,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_28.jpeg,liked,3.470791822,,,,,,,,,,,,,,
