endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,end_screen_keys.keys,end_screen_keys.rt
space,26.0353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,30.2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.9088,NAN,,NAN,,0,50,50,50,1,51,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_12.jpeg,liked,1.779333479,,,,,,,,,,,,,
,,,,,,space,0.4899,NAN,,NAN,,0,51,51,51,1,52,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_15.jpeg,liked,4.312468682,,,,,,,,,,,,,
,,,,,,space,0.4473,NAN,,NAN,,0,52,52,52,1,53,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_7.jpeg,liked,4.940433059,,,,,,,,,,,,,
,,,,,,space,0.8233,NAN,,NAN,,0,53,53,53,1,54,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_16.jpeg,liked,2.7105123,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.3724,0,0,0,0,1,1.163,,,
,,,,,,,,NAN,,NAN,,0,54,54,54,1,55,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_26.jpeg,liked,3.602308302,,,,,,,,,,,,,
,,,,,,space,1.6681,NAN,,NAN,,0,55,55,55,1,56,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_8.jpeg,liked,4.106391878,,,,,,,,,,,,,
,,,,,,space,0.4503,NAN,,NAN,,0,56,56,56,1,57,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_9.jpeg,did not like,3.799433026,,,,,,,,,,,,,
,,,,,,space,0.341,NAN,,NAN,,0,57,57,57,1,58,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_21.jpeg,liked,5.246980764,,,,,,,,,,,,,
,,,,,,space,0.5325,NAN,,NAN,,0,58,58,58,1,59,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_10.jpeg,did not like,3.30081769,,,,,,,,,,,,,
