PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,lotteryguess_keys.keys,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
615a084387075364a7462335,space,13.7783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,16.8092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,space,1.3781,NAN,,NAN,,0,61,61,61,1,62,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_16.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,0.8802,NAN,,NAN,,0,62,62,62,1,63,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_12.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,0.6075,NAN,,NAN,,0,63,63,63,1,64,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_23.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,1.9138,,space,1.1329,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,64,64,64,1,65,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_27.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,0.9411,NAN,,NAN,,0,65,65,65,1,66,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_15.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,0.9719,NAN,,NAN,,0,66,66,66,1,67,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_8.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,0.6285,NAN,,NAN,,0,67,67,67,1,68,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_11.jpeg,did not like,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,0.4115,NAN,,NAN,,0,68,68,68,1,69,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_4.jpeg,liked,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,1.3555,,space,0.7222,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,69,69,69,1,70,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_3.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,1.9626,NAN,,NAN,,0,70,70,70,1,71,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_30.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,0.6169,NAN,,NAN,,0,71,71,71,1,72,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_7.jpeg,did not like,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,1.9507,NAN,,NAN,,0,72,72,72,1,73,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_20.jpeg,did not like,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,2.7717,NAN,,NAN,,0,73,73,73,1,74,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_19.jpeg,did not like,5.336503566,,,,,,,,,,,,,,
