endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,lotteryguess_keys.keys,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,10.5072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,13.4991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.8454,NAN,,NAN,,0,35,35,35,1,36,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_18.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
,,,,,,space,0.9951,NAN,,NAN,,0,36,36,36,1,37,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_22.jpeg,liked,3.562416326,,,,,,,,,,,,,,
,,,,,,space,0.8364,NAN,,NAN,,0,37,37,37,1,38,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_26.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,space,0.9997,NAN,,NAN,,0,38,38,38,1,39,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_1.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,1.3952,,space,0.8541,0,0,0,0,1,,,
,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_29.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,space,0.9081,NAN,,NAN,,0,40,40,40,1,41,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_5.jpeg,did not like,4.942172136,,,,,,,,,,,,,,
,,,,,,space,1.4418,NAN,,NAN,,0,41,41,41,1,42,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_4.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,space,0.9442,NAN,,NAN,,0,42,42,42,1,43,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_15.jpeg,did not like,2.071164779,,,,,,,,,,,,,,
,,,,,,space,0.6615,NAN,,NAN,,0,43,43,43,1,44,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_14.jpeg,liked,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,0.9956,,space,0.6124,0,0,0,0,1,,,
,,,,,,,,NAN,,NAN,,0,44,44,44,1,45,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_3.jpeg,liked,2.642157193,,,,,,,,,,,,,,
,,,,,,space,0.9939,NAN,,NAN,,0,45,45,45,1,46,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_16.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,space,0.8612,NAN,,NAN,,0,46,46,46,1,47,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_2.jpeg,did not like,4.438512181,,,,,,,,,,,,,,
,,,,,,space,0.836,NAN,,NAN,,0,47,47,47,1,48,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_30.jpeg,did not like,2.682944783,,,,,,,,,,,,,,
,,,,,,space,0.7512,NAN,,NAN,,0,48,48,48,1,49,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_19.jpeg,liked,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,0.898,,space,0.8675,0,0,0,0,1,,,
