PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,end_screen_keys.keys,end_screen_keys.rt
6116f60ae8f48f7d1244e8d3,space,13.3835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,10.8506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,space,0.7409,NAN,,NAN,,0,35,35,35,1,36,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_7.jpeg,liked,3.79605092,,,,,,,,,,,,,
,,,,,,,space,0.6261,NAN,,NAN,,0,36,36,36,1,37,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_15.jpeg,did not like,3.562416326,,,,,,,,,,,,,
,,,,,,,space,0.5282,NAN,,NAN,,0,37,37,37,1,38,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_29.jpeg,liked,2.843822497,,,,,,,,,,,,,
,,,,,,,space,0.6153,NAN,,NAN,,0,38,38,38,1,39,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_4.jpeg,did not like,3.546495948,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.662,0,0,0,0,1,0.7812,,,
,,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_23.jpeg,did not like,1.672012706,,,,,,,,,,,,,
,,,,,,,space,0.7346,NAN,,NAN,,0,40,40,40,1,41,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_10.jpeg,liked,4.942172136,,,,,,,,,,,,,
,,,,,,,space,0.675,NAN,,NAN,,0,41,41,41,1,42,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_2.jpeg,liked,2.50187214,,,,,,,,,,,,,
,,,,,,,space,0.9054,NAN,,NAN,,0,42,42,42,1,43,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_27.jpeg,did not like,2.071164779,,,,,,,,,,,,,
,,,,,,,space,0.4986,NAN,,NAN,,0,43,43,43,1,44,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_24.jpeg,liked,5.336503566,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.6739,0,0,0,0,1,1.4729,,,
